window_size,stdv,alt_min,received_alg,similarity
3,1.0,350, U D D D D R R R R L L L L F F F F B B B B,94
3,1.0,450, D D' R R R R L L L L F F F F B B B B,86
3,1.0,550, D D' R R R R L L L L F F F F B B B B,86
3,1.25,50, U U U D D D D R R R U' R U U' D' L D L U L L F F F U' F R' R' R B R' D B D' B B B F' D',67
3,1.25,150, U U U D D D D R R R R D' L D L L L F F F F B D B D' B B,89
3,1.25,250, U U D D D D R R R R L L L L F F F F B B B B,97
3,1.25,350, U D D D D R R R R L L L L F F F F B B B B,94
3,1.25,450, D D' R R R R L L L L F F F F B B B B,86
3,1.25,550, D D' R R R R L L L L F F F F B B B B,86
3,1.5,50, U U D D D U D R R R R U' D' L D L L L U F F F U' F R' R' R B R' D B D' B B B F' D',66
3,1.5,150, U U D D D D R U R R R D' L D L L L F F F F B D B D' B B,85
3,1.5,250, U U D D D D R R R R L L L L F F F F B B B B,97
3,1.5,350, U D D D D R R R R L L L L F F F F B B B B,94
3,1.5,450, D D' R R R R L L L L F F F F B B B B,86
3,1.5,550, D D' R R R R L L L L F F F F B B B B,86
3,1.75,50, U U D D D D U R R R R U' D' L D L L L F F F F R' R' R B R' D B D' B B B F' D',70
3,1.75,150, U U D D D D R R R R D' L D L L L F F F F B D B D' B B,87
3,1.75,250, U U D D D D R R R R L L L L F F F F B B B B,97
3,1.75,350, U D D D D R R R R L L L L F F F F B B B B,94
3,1.75,450, D D' R R R R L L L L F F F F B B B B,86
3,1.75,550, D D' R R R R L L L L F F F F B B B B,86
3,2.0,50, U U D D D D U R R R R U' D' L D L L L F F F F R B R' D B D' B B B F' D',74
3,2.0,150, U U D D D D R R R R D' L D L L L F F F F B D B D' B B,87
3,2.0,250, U U D D D D R R R R L L L L F F F F B B B B,97
3,2.0,350, U D D D D R R R R L L L L F F F F B B B B,94
3,2.0,450, D D' R R R R L L L L F F F F B B B B,86
3,2.0,550, D D' R R R R L L L L F F F F B B B B,86
3,2.25,50, U U D D D D R R R R D' L D L L L F F F F R B R' D B D' B B B F' D',77
3,2.25,150, U D D D D R R R R D' L D L L L F F F F B D B D' B B,85
3,2.25,250, U D D D D R R R R L L L L F F F F B B B B,94
3,2.25,350, U D D D D R R R R L L L L F F F F B B B B,94
3,2.25,450, D D' R R R R L L L L F F F F B B B B,86
3,2.25,550, D D' R R R R L L L L F F F F B B B B,86
3,2.5,50, U D D D D R R R R D' L D L L L F F F F R B R' D B D' B B B D',77
3,2.5,150, U D D D D R R R R D' L D L L L F F F F B D B D' B B,85
3,2.5,250, U D D D D R R R R L L L L F F F F B B B B,94
3,2.5,350, U D D D D R R R R L L L L F F F F B B B B,94
3,2.5,450, D D' R R R R L L L L F F F F B B B B,86
3,2.5,550, D D' R R R R L L L L F F F F B B B B,86
3,2.75,50, U D D D D R R R R D' L D L L L F F F F R B R' D B D' B B B D',77
3,2.75,150, U D D D D R R R R D' L D L L L F F F F B D B D' B B,85
3,2.75,250, U D D D D R R R R L L L L F F F F B B B B,94
3,2.75,350, D D D D R R R R L L L L F F F F B B B B,92
3,2.75,450, D D' R R R R L L L L F F F F B B B B,86
3,2.75,550, D D' R R R R L L L L F F F F B B B B,86
3,3.0,50, U D D D D R R R R D' L D L L L F F F F R B R' D B D' B B B D',77
3,3.0,150, U D D D D R R R R D' L D L L L F F F F B D B D' B B,85
3,3.0,250, U D D D D R R R R L L L L F F F F B B B B,94
3,3.0,350, D D D D R R R R L L L L F F F F B B B B,92
3,3.0,450, D D' R R R R L L L L F F F F B B B B,86
3,3.0,550, D D' R R R R L L L L F F F F B B B B,86
4,0.25,50, U' U U U D D D D R R R R L L L L F F F U' F R R' U B U' D B U D' B U' B U U' B F' D',70
4,0.25,150, U' U U D U D D D R R R R L L L L F F F F B D B D' B B,91
4,0.25,250, U U D D D D R R R R L L L L F F F F B B B B,97
4,0.25,350, D D D D R R R R L L L L F F F F B B B B,92
4,0.25,450, D D' R R R R L L L L F F F F B B B B,86
4,0.25,550, D R R R R L D' L L L F F F F B B B B,81
4,0.5,50, U' U U U D D D D R R R R L L L L F F F U' F R R' U B U' D B U D' B U' B U U' B F' D',70
4,0.5,150, U' U U D U D D D R R R R L L L L F F F F B D B D' B B,91
4,0.5,250, U U D D D D R R R R L L L L F F F F B B B B,97
4,0.5,350, D D D D R R R R L L L L F F F F B B B B,92
4,0.5,450, D D' R R R R L L L L F F F F B B B B,86
4,0.5,550, D R R R R L D' L L L F F F F B B B B,81
4,0.75,50, U' U U U D D D D R R R R L L L L F F F U' F R R' U B U' D B D' U B U' B U U' B F' D',70
4,0.75,150, U' U U D U D D D R R R R L L L L F F F F B D B D' B B,91
4,0.75,250, U U D D D D R R R R L L L L F F F F B B B B,97
4,0.75,350, D D D D R R R R L L L L F F F F B B B B,92
4,0.75,450, D D' R R R R L L L L F F F F B B B B,86
4,0.75,550, D R R R R L D' L L L F F F F B B B B,81
4,1.0,50, U' U U U D D D D R R R R L L L L F F F U' F R R' U B U' D B D' B B B F' D',75
4,1.0,150, U' U U D U D D D R R R R L L L L F F F F B D B D' B B,91
4,1.0,250, U U D D D D R R R R L L L L F F F F B B B B,97
4,1.0,350, D D D D R R R R L L L L F F F F B B B B,92
4,1.0,450, D D' R R R R L L L L F F F F B B B B,86
4,1.0,550, D R R R R L D' L L L F F F F B B B B,81
4,1.25,50, U U U D D D D R R R R L L L L F F F U' F R R' B D B D' B B B F' D',79
4,1.25,150, U U D D D D R R R U R L L L L F F F F B D B D' B B,90
4,1.25,250, U U D D D D R R R R L L L L F F F F B B B B,97
4,1.25,350, D D D D R R R R L L L L F F F F B B B B,92
4,1.25,450, D D' R R R R L L L L F F F F B B B B,86
4,1.25,550, D R R R R L D' L L L F F F F B B B B,81
4,1.5,50, U U D D D U D R R R R L L L L F F F U' F B D B D' B B B F' D',79
4,1.5,150, U U D D D D R R R R L L L L F F F F B D B D' B B,92
4,1.5,250, U U D D D D R R R R L L L L F F F F B B B B,97
